transaction_id,transaction_date,customer_id,customer_age,customer_segment,country,payment_method,transaction_amount_usd,currency,exchange_rate,product_category,merchant_id,merchant_name,transaction_status,is_fraud,device_type,platform,session_duration_sec,chargeback_flag,discount_applied,net_revenue_usd,customer_lifetime_value
F40603CD-860A-4FC8,2022-11-09,CUST012749,30.0,Corporate,United States,Paypal,165.45,USD,1.0,Electronics,MER00256,Berry-Chung,Completed,0,Mobile,Android,737.8,0,0.2507,123.97,792.52
3130BA47-B033-4DB1,2022-02-16,CUST003490,29.0,Corporate,France,Apple Pay,2417.58,EUR,1.08,Groceries,MER00124,"Harrington, Case and Wagner",Completed,0,Tablet,Browser,80.9,0,0.2835,1732.2,97.8
38D4B31F-B69D-4F24,2022-12-26,CUST000423,34.0,SME,France,Paypal,83.66,EUR,1.08,Electronics,MER00183,"Bennett, Thompson and Peters",Unknown,0,Mobile,Ios,56.3,0,0.0272,81.38,493.36
FE4AF4FE-1436-4B2D,2024-05-26,CUST008754,29.0,Basic,Kenya,Bank Transfer,83.66,KES,0.0075,Financial Services,MER00052,Gutierrez LLC,Declined,0,Mobile,Android,622.3,0,0.2939,59.07,423.85
6699804A-C105-4518,2023-11-06,CUST000018,32.0,SME,Ng,Paypal,83.66,NGN,0.0013,Fashion & Apparel,MER00076,Navarro and Sons,Completed,1,Desktop,Ios,1402.3,0,0.3575,53.75,969.81
D8CBA630-CCE9-45E0,2024-02-18,CUST013384,49.0,Small Business,Nigeria,Apple Pay,83.66,NGN,0.0013,Groceries,MER00107,"Franklin, Mills and Davis",Pending,0,Mobile,Point Of Sale,355.6,0,0.1889,67.86,2026.5
AD9392AE-AB5F-4B27,2022-09-13,CUST004139,34.0,Retail,Tanzania,M-Pesa,83.66,TZS,0.0004,Health & Beauty,MER00175,"Daugherty, Clark and Haynes",Completed,0,Mobile,Web,361.9,0,0.1512,71.01,1938.3
9A369796-6C31-4644,2023-03-03,CUST011350,45.0,Corporate,Ghana,Debit Card,83.66,GHS,0.072,Home & Furniture,MER00114,Paul-Nash,Completed,0,Desktop,Android,23.0,0,0.1285,72.91,667.48
B0FE7FAC-9B7A-4722,2023-12-10,CUST002354,37.0,SME,Ghana,M-Pesa,83.66,GHS,0.072,Electronics,MER00005,Mcclure and Sons,Completed,0,Desktop,Android,50.1,0,0.1365,72.24,129.13
2AC9649C-AE5B-492A,2023-11-27,CUST012667,27.0,SME,Nigeria,Crypto Wallet,83.66,NGN,0.0013,Electronics,MER00233,Hogan-Cooper,Failed,0,Desktop,Android,51.7,0,0.0234,81.7,783.75
CC6B128E-7B23-4074,2024-09-02,CUST010209,48.0,Basic,Ghana,M-pesa,83.66,GHS,0.072,Travel & Hospitality,MER00107,"Franklin, Mills and Davis",Completed,0,Desktop,Ussd,48.9,0,0.085,76.55,673.19
8AC7B14E-5C43-484C,2023-07-11,CUST007302,39.0,Premium,Ghana,Debit Card,83.66,GHS,0.072,entertainment,MER00268,Bell-Perez,Completed,0,Desktop,Web,252.5,0,0.2568,62.18,358.55
3AB65EDD-B02C-419E,2023-04-23,CUST006725,25.0,SME,South Africa,Debit Card,83.66,ZAR,0.054,Automotive,MER00170,"Kirk, Huffman and Eaton",Pending,0,Desktop,Ussd,181.0,0,0.1202,73.6,365.41
9509F57A-252A-47E2,2022-07-26,CUST013441,25.0,Corporate,United Kingdom,Crypto Wallet,243.43,GBP,1.27,Financial Services,MER00197,"Lamb, Haney and Brown",Declined,0,Desktop,Ios,92.8,0,0.0588,229.12,3064.05
E28FC34B-2C66-4A99,2022-11-21,CUST011229,43.0,Premium,Kenya,M-Pesa,83.66,KES,0.0075,education,MER00242,Daniel and Sons,Completed,0,Tablet,Android,174.9,0,0.2979,58.74,486.28
0978F29A-4690-45D8,2023-03-12,CUST001964,40.0,Basic,Ghana,Paypal,83.66,GHS,0.072,Financial Services,MER00238,"Walker, Cabrera and Roberts",Failed,0,Mobile,Android,200.0,0,0.0937,75.82,1442.68
939B0C6A-0FDB-4088,2024-01-18,CUST013271,39.0,SME,India,Paypal,83.66,INR,0.012,Media & Entertainment,MER00187,Smith Group,Completed,0,Desktop,Android,44.3,0,0.0396,80.35,376.82
