transaction_id,transaction_date,customer_id,customer_age,customer_segment,country,payment_method,transaction_amount_usd,currency,exchange_rate,product_category,merchant_id,merchant_name,transaction_status,is_fraud,device_type,platform,session_duration_sec,chargeback_flag,discount_applied,net_revenue_usd,customer_lifetime_value
F40603CD-860A-4FC8,11-09-2022,CUST012749,30,Corporate,USA,PayPal,165.45,USD,1.0,Electronics,MER00256,Berry-Chung,Completed,0,Mobile,Android,737.8,0,0.2507,123.97,792.52
3130BA47-B033-4DB1,2022/02/16,CUST003490,29,CORPORATE,France,Apple Pay,2417.58,EUR,1.08,Groceries,MER00124,"Harrington, Case and Wagner",Complete,0,Tablet,Browser,80.9,0,0.2835,1732.2,97.8
38D4B31F-B69D-4F24,2022-12-26,CUST000423,34,SME,France,PAYPAL,34.81,EUR,1.08,Electronics,MER00183,"Bennett, Thompson and Peters",,0,Mobile,iOS,56.3,0,0.0272,33.86,493.36
FE4AF4FE-1436-4B2D,2024-05-26,CUST008754,29,Basic,Kenya,bank transfer,1.06,KES,0.0075,Financial Services,MER00052,Gutierrez LLC,Declined,0,Mobile,Android,622.3,0,0.2939,0.75,423.85
6699804A-C105-4518,2023/11/06,CUST000018,32,SME,NG,PayPal,0.03,NGN,0.0013,Fashion & Apparel,MER00076,Navarro and Sons,Completed,1,Desktop,iOS,1402.3,0,0.3575,0.02,969.81
D8CBA630-CCE9-45E0,2024-02-18,CUST013384,49,Small Business,Nigeria,Apple Pay,2.06,NGN,0.0013,Groceries,MER00107,"Franklin, Mills and Davis",Pending,0,Mobile,Point of Sale,355.6,0,0.1889,1.67,2026.5
AD9392AE-AB5F-4B27,13-Sep-2022,CUST004139,34,Retail,Tanzania,M-Pesa,0.27,TZS,0.0004,Health & Beauty,MER00175,"Daugherty, Clark and Haynes",completed,0,Mobile,Web,361.9,0,0.1512,0.23,1938.3
9A369796-6C31-4644,2023-03-03,CUST011350,45,Corporate,Ghana,Debit Card,1.83,GHS,0.072,Home & Furniture,MER00114,Paul-Nash,Complete,0,Desktop,Android,23.0,0,0.1285,1.59,
B0FE7FAC-9B7A-4722,2023/12/10,CUST002354,37,SME,Ghana,M-Pesa,6.43,GHS,0.072,Electronics,MER00005,Mcclure and Sons,Completed,0,Desktop,ANDROID,50.1,0,0.1365,5.55,129.13
2AC9649C-AE5B-492A,27/11/2023,CUST012667,27,SME,Nigeria,Crypto Wallet,0.05,NGN,,Electronics,MER00233,Hogan-Cooper,Failed,0,Desktop,Android,51.7,0,0.0234,0.05,783.75
